time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,weather_condition_category
2025-06-07 21:00:00,28.9,25.7,83.0,0.0,183.0,3.7,1004.3,3.0,Clouds
2025-06-07 22:00:00,28.8,25.8,84.0,0.0,184.0,1.8,1004.4,2.0,Clear
2025-06-07 23:00:00,28.7,26.1,86.0,0.0,185.0,1.8,1004.6,2.0,Clear
2025-06-08 00:00:00,27.6,26.9,96.0,0.0,158.0,4.3,1004.3,2.0,Clear
2025-06-08 01:00:00,29.8,26.6,83.0,0.0,182.0,1.8,1005.0,2.0,Clear
2025-06-08 02:00:00,31.1,26.8,78.0,0.0,180.0,3.7,1005.3,2.0,Clear
2025-06-08 03:00:00,32.5,26.8,72.0,0.0,178.0,3.7,1005.7,2.0,Clear
2025-06-08 04:00:00,33.3,26.6,68.0,0.0,176.0,3.7,1005.3,2.0,Clear
2025-06-08 05:00:00,34.1,26.3,64.0,0.0,175.0,3.7,1005.0,2.0,Clear
2025-06-08 06:00:00,34.2,26.4,64.0,0.0,162.0,3.6,1003.5,3.0,Clouds
2025-06-08 07:00:00,35.1,26.2,60.0,0.0,169.0,3.7,1003.8,3.0,Clouds
2025-06-08 08:00:00,35.3,26.1,59.0,0.0,166.0,5.5,1003.1,3.0,Clouds
2025-06-08 09:00:00,35.5,26.0,58.0,0.0,163.0,5.5,1002.3,3.0,Clouds
2025-06-08 10:00:00,34.8,25.9,60.0,0.0,166.0,5.5,1002.0,3.0,Clouds
2025-06-08 11:00:00,34.1,25.8,62.0,0.0,169.0,5.5,1001.8,3.0,Clouds
2025-06-08 12:00:00,31.6,26.9,76.0,0.0,190.0,8.6,1000.7,3.0,Clouds
2025-06-08 13:00:00,32.5,25.8,68.0,0.0,174.0,5.5,1002.2,3.0,Clouds
2025-06-08 14:00:00,31.7,25.8,71.0,0.0,176.0,5.5,1002.9,2.0,Clear
2025-06-08 15:00:00,30.8,26.1,76.0,0.0,178.0,5.5,1003.5,2.0,Clear
2025-06-08 16:00:00,30.5,26.2,78.0,0.0,179.0,5.5,1003.6,2.0,Clear
2025-06-08 17:00:00,30.2,26.4,80.0,0.0,179.0,5.5,1003.6,2.0,Clear
2025-06-08 18:00:00,28.2,27.0,93.0,0.0,168.0,7.2,1003.1,2.0,Clear
2025-06-08 19:00:00,29.6,26.4,83.0,0.0,179.0,3.7,1003.3,2.0,Clear
2025-06-08 20:00:00,29.5,26.5,84.0,0.0,179.0,3.7,1003.0,2.0,Clear
